datetime,planet,ra_deg,dec_deg,elong_deg
2025-11-12 18:37:27.887133+00:00,Mercury,243.56677941850603,-23.036250803099676,15.635082483784263
2025-11-12 18:37:27.887133+00:00,Venus,215.03003199713623,-12.637796302866123,13.382621003906422
2025-11-12 18:37:27.887133+00:00,Earth,0.0,0.0,
2025-11-12 18:37:27.887133+00:00,Mars,243.56336396059714,-21.725615610832957,15.307273590038513
2025-11-12 18:37:27.887133+00:00,Jupiter,116.73974802025462,21.27808253250447,115.48129335390168
2025-11-12 18:37:27.887133+00:00,Saturn,356.38152062595503,-4.215294143229811,124.69999313653815
2025-11-12 18:37:27.887133+00:00,Uranus,57.29221637329253,19.82636601162818,170.819894560857
2025-11-12 18:37:27.887133+00:00,Neptune,359.8297525609198,-1.5596059471173314,128.94061703229627
2025-11-13 00:37:27.887133+00:00,Mercury,243.444594716001,-22.957303035534725,15.25488627921741
2025-11-13 00:37:27.887133+00:00,Venus,215.33187576123956,-12.745332373566805,13.32036422938095
2025-11-13 00:37:27.887133+00:00,Earth,0.0,0.0,
2025-11-13 00:37:27.887133+00:00,Mars,243.75487829856334,-21.759844903665414,15.237011201855033
2025-11-13 00:37:27.887133+00:00,Jupiter,116.73879028633421,21.27886205501458,115.73383045098464
2025-11-13 00:37:27.887133+00:00,Saturn,356.37504178908085,-4.2172303704931045,124.44213277759094
2025-11-13 00:37:27.887133+00:00,Uranus,57.28151330629045,19.8241822560527,171.08164902000655
2025-11-13 00:37:27.887133+00:00,Neptune,359.8262849082222,-1.5609713271669892,128.68549288971408
2025-11-13 06:37:27.887133+00:00,Mercury,243.31152359742913,-22.874715263197604,14.863912642228755
2025-11-13 06:37:27.887133+00:00,Venus,215.63398971845038,-12.852549748063872,13.258116641463891
2025-11-13 06:37:27.887133+00:00,Earth,0.0,0.0,
2025-11-13 06:37:27.887133+00:00,Mars,243.94655002727137,-21.79386711299172,15.166779333791409
2025-11-13 06:37:27.887133+00:00,Jupiter,116.73761209942356,21.279679616113945,115.98661033377178
2025-11-13 06:37:27.887133+00:00,Saturn,356.36865805058324,-4.219122957969265,124.18434041208273
2025-11-13 06:37:27.887133+00:00,Uranus,57.27079989434902,19.82199586680844,171.34344342766337
2025-11-13 06:37:27.887133+00:00,Neptune,359.82284415729805,-1.5623244708816855,128.4303635184983
2025-11-13 12:37:27.887133+00:00,Mercury,243.1675770684528,-22.788467398981595,14.462149714790366
2025-11-13 12:37:27.887133+00:00,Venus,215.9363754207795,-12.959444882735692,13.195878326712409
2025-11-13 12:37:27.887133+00:00,Earth,0.0,0.0,
2025-11-13 12:37:27.887133+00:00,Mars,244.13837879097628,-21.827681521571392,15.096578119792197
2025-11-13 12:37:27.887133+00:00,Jupiter,116.73621335679577,21.280535230606482,116.23963291745918
2025-11-13 12:37:27.887133+00:00,Saturn,356.36236964962836,-4.220971827306125,123.92661650485013
2025-11-13 12:37:27.887133+00:00,Uranus,57.260076434268385,19.819806905154476,171.60527693149487
2025-11-13 12:37:27.887133+00:00,Neptune,359.8194304094224,-1.5636653369302889,128.17522922034303
2025-11-13 18:37:27.887133+00:00,Mercury,243.01278891124372,-22.698544949910058,14.049606989174247
2025-11-13 18:37:27.887133+00:00,Venus,216.2390343934327,-13.066014232309646,13.133649365363242
2025-11-13 18:37:27.887133+00:00,Earth,0.0,0.0,
2025-11-13 18:37:27.887133+00:00,Mars,244.33036422216935,-21.861287412831295,15.026407699059218
2025-11-13 18:37:27.887133+00:00,Jupiter,116.73459396516108,21.281428910683303,116.49289809727092
2025-11-13 18:37:27.887133+00:00,Saturn,356.35617682252183,-4.222776901494086,123.6689615275796
2025-11-13 18:37:27.887133+00:00,Uranus,57.24934322415321,19.81761543267831,171.86714861698616
2025-11-13 18:37:27.887133+00:00,Neptune,359.8160437653182,-1.5649938842553517,127.92009030673113
2025-11-14 00:37:27.887133+00:00,Mercury,242.84721703364926,-22.604939641720993,13.626316824113824
2025-11-14 00:37:27.887133+00:00,Venus,216.54196813480812,-13.172254250145407,13.071429831612761
2025-11-14 00:37:27.887133+00:00,Earth,0.0,0.0,
2025-11-14 00:37:27.887133+00:00,Mars,244.52250594182502,-21.89468407099628,14.956268215671868
2025-11-14 00:37:27.887133+00:00,Jupiter,116.73275384072758,21.2823606658975,116.7464057490393
2025-11-14 00:37:27.887133+00:00,Saturn,356.3500798026307,-4.224538104903097,123.41137595809523
2025-11-14 00:37:27.887133+00:00,Uranus,57.238600563360386,19.815421511281727,172.1290574997585
2025-11-14 00:37:27.887133+00:00,Neptune,359.8126843251282,-1.5663100720872456,127.66494709826766
2025-11-14 06:37:27.887133+00:00,Mercury,242.67094477799168,-22.507650065669253,13.192335961183762
2025-11-14 06:37:27.887133+00:00,Venus,216.84517811646614,-13.27816138850536,13.009219793885245
2025-11-14 06:37:27.887133+00:00,Earth,0.0,0.0,
2025-11-14 06:37:27.887133+00:00,Mars,244.71480355963647,-21.927870781213905,14.88615981823699
2025-11-14 06:37:27.887133+00:00,Jupiter,116.73069290925484,21.283330503141485,117.00015572974968
2025-11-14 06:37:27.887133+00:00,Saturn,356.34407882031235,-4.226255363315928,123.15386027969663
2025-11-14 06:37:27.887133+00:00,Uranus,57.227848752448,19.81322520316751,172.39100251611404
2025-11-14 06:37:27.887133+00:00,Neptune,359.8093521883892,-1.5676138599571428,127.40979992405832
2025-11-14 12:37:27.887133+00:00,Mercury,242.4840821734654,-22.40668234299842,12.747747030999971
2025-11-14 12:37:27.887133+00:00,Venus,217.1486657830737,-13.38373209881339,12.947019315087633
