# source: NASA Exoplanet Archive, pscomppars composite-parameters table, TAP service (keyless). https://exoplanetarchive.ipac.caltech.edu/
# query: select top 1000 pl_name,hostname,ra,dec,st_teff,pl_orbper from pscomppars where st_teff is not null and pl_orbper is not null and ra is not null and dec is not null order by pl_name
# rows: 1000
pl_name,hostname,ra,dec,st_teff,pl_orbper
HATS-48 A b,HATS-48 A,288.6720048,-59.5793505,4546.00,3.13166660000
HATS-57 b,HATS-57,60.9482779,-19.0568182,5587.00,2.35062100000
HATS-65 b,HATS-65,292.9397825,-26.7402021,6277.00,3.10516100000
HATS-68 b,HATS-68,15.0060770,-58.9047242,6147.00,3.58622020000
HD 100655 b,HD 100655,173.7653631,20.4415410,4891.00,157.57001000000
HD 10180 e,HD 10180,24.4731133,-60.5114881,5911.00,49.74800000000
HD 102117 b,HD 102117,176.2097267,-58.7040134,5655.00,20.81330000000
HD 102329 b,HD 102329,176.6941567,3.4742143,4745.00,778.09998000000
HD 103720 b,HD 103720,179.1713308,-2.7791393,5017.00,4.55570000000
HD 103891 b,HD 103891,179.4382907,-8.5486195,6072.00,1919.00000000000
HD 104067 c,HD 104067,179.7923543,-20.3556058,4952.00,13.89920000000
HD 106315 b,HD 106315,183.4724742,-0.3934357,6327.00,9.55237000000
HD 109246 b,HD 109246,188.0271840,74.4893379,5844.00,68.27000000000
HD 110067 c,HD 110067,189.8392243,20.0273377,5266.00,13.67369400000
HD 110067 e,HD 110067,189.8392243,20.0273377,5266.00,30.79309100000
HD 110067 g,HD 110067,189.8392243,20.0273377,5266.00,54.76992000000
HD 114082 b,HD 114082,197.3171237,-60.3084347,6651.00,109.75000000000
HD 115404 A b,HD 115404 A,199.2155793,17.0160384,5019.17,10.49488000000
HD 116029 b,HD 116029,200.1646905,24.6484725,4819.00,670.00000000000
HD 118203 b,HD 118203,203.5099560,53.7281876,5742.00,6.13497790000
HD 126105 b,HD 126105,216.0016789,-19.8010960,4875.00,524.00000000000
HD 12661 b,HD 12661,31.1423525,25.4135632,5645.00,262.70862000000
HD 134606 c,HD 134606,228.8103897,-70.5203328,5576.00,58.88300000000
HD 134987 b,HD 134987,228.3675397,-25.3096721,5736.00,258.17999000000
