datetime,Q,H,alpha,epsilon,Lambda,E,O,Gamma,L2_event,is_conjunction,is_opposition
2023-01-01 00:00:00,0.7907859342097,1.7256412690182927,168.91815050767363,83.71396854070277,0.7872639876489382,0.7872639876489382,0.07872639876489383,0.5060171201396906,0,0,0
2023-01-01 06:00:00,0.7918459699796321,1.7338611878449322,169.2004959896685,83.62906126788984,0.9551214208583445,0.7872639876489383,0.07872639876489383,0.8108698690307288,0,0,0
2023-01-01 12:00:00,0.7928630845606434,1.7419188525729827,169.48339191598032,83.5435931351589,0.9861293022474114,0.9215499342164634,0.09551214208583446,0.8671845504720423,0,0,0
2023-01-01 18:00:00,0.7938359122680543,1.7498054285721394,169.76682171565514,83.45758062010223,0.9991814964143778,0.9732134286412218,0.09861293022474114,0.8908891740611294,0,0,0
2023-01-02 00:00:00,0.794763102710391,1.7575121502776636,170.05076864606121,83.37104037237722,1.005810825325185,0.9939878828597467,0.09991814964143779,0.902928969398886,0,0,0
2023-01-02 06:00:00,0.7956433227142288,1.7650303391185906,170.33521579821385,83.28398920838474,1.0100444356207219,1.0034462368320973,0.1005810825325185,0.9106178021878263,0,0,0
2023-01-02 12:00:00,0.7964752582449723,1.7723514216046639,170.62014610215314,83.19644410589426,1.0133471251402102,1.008724795862997,0.1010044435620722,0.9166159516858803,0,0,0
2023-01-02 18:00:00,0.7972576163193921,1.7794669475152027,170.90554233237307,83.10842219861762,1.0162506673308827,1.0124226592847676,0.10133471251402103,0.9218891933971565,0,0,0
2023-01-03 00:00:00,0.7979891269056892,1.7863686081312875,171.19138711330038,83.01994077073316,1.0189467789580229,1.0154850657216596,0.10162506673308827,0.9267857119792405,0,0,0
2023-01-03 06:00:00,0.7986685448068397,1.7930482544511135,171.47766292482146,82.93101725136184,1.0215032638275865,1.0182544363107504,0.1018946778958023,0.9314286486969285,0,0,0
2023-01-03 12:00:00,0.7992946515229554,1.7994979153271073,171.76435210785485,82.84166920899733,1.0239428043202266,1.0208534983242195,0.10215032638275866,0.9358591979493083,0,0,0
2023-01-03 18:00:00,0.7998662570884045,1.805709815462398,172.0514368699689,82.75191434589159,1.026271686222789,1.0233249431210252,0.10239428043202266,0.9400887756109245,0,0,0
2023-01-04 00:00:00,0.800382201879437,1.8116763932035382,172.3388992910413,82.66177049239798,1.0284902735293462,1.0256823376024362,0.1026271686222789,0.9441180427462975,0,0,0
2023-01-04 06:00:00,0.8008413583881031,1.8173903180659943,172.62672132895952,82.5712556012735,1.0305968307952311,1.0279286863439643,0.10284902735293462,0.9479438475433973,0,0,0
2023-01-04 12:00:00,0.8012426329582852,1.8228445079288431,172.91488482536082,82.48038774194205,1.032588920502387,1.0300632019049778,0.10305968307952312,0.9515617631260002,0,0,0
2023-01-04 18:00:00,0.8015849674797199,1.8280321458353472,173.20337151140833,82.38918509472067,1.0344639163863159,1.0320837767829052,0.10325889205023871,0.9549670198277513,0,0,0
2023-01-05 00:00:00,0.8018673410359612,1.8329466963366892,173.49216301360323,82.29766594501032,1.0362191944073447,1.0339878884656337,0.10344639163863159,0.9581548520228923,0,0,0
2023-01-05 06:00:00,0.8020887715023155,1.8375819213170002,173.78124085963023,82.20584867745326,1.037852206093166,1.0357729332190024,0.10362191944073447,0.9611206313266469,1,0,1
2023-01-05 12:00:00,0.8022483170898692,1.841931895239099,174.0705864842341,82.11375177005905,1.0393605088648141,1.0374363515183334,0.10378522060931661,0.9638599216714675,1,0,1
2023-01-05 18:00:00,0.8023450778318569,1.8459910197518663,174.36018123512662,82.02139378830043,1.040741780530054,1.038975677395518,0.10393605088648142,0.9663685056290714,1,0,1
2023-01-06 00:00:00,0.8023781970087184,1.849754037602122,174.65000637892078,81.92879337918178,1.0419938278403837,1.0403885599031468,0.10407417805300541,0.9686423999511624,1,0,1
2023-01-06 06:00:00,0.8023468625083467,1.8532160457960065,174.94004310709118,81.8359692652814,1.0431145927067489,1.0416727742529364,0.10419938278403838,0.9706778668580445,1,0,1
2023-01-06 12:00:00,0.8022503081181652,1.8563725079574256,175.23027254195833,81.74294023876988,1.0441021573727953,1.0428262290159864,0.1043114592706749,0.9724714234339772,1,0,1
2023-01-06 18:00:00,0.8020878147458335,1.859219265833902,175.52067574269512,81.64972515540616,1.0449547490081155,1.0438469717014336,0.10441021573727954,0.9740198499691584,1,0,1
2023-01-07 00:00:00,0.8018587115655595,1.8617525499032672,175.81123371135342,81.55634292851371,1.0456707438797557,1.0447331935467792,0.10449547490081156,0.9753201975357693,1,0,1
2023-01-07 06:00:00,0.8015623770871647,1.8639689890379783,176.10192739890903,81.46281252293804,1.0462486711501484,1.0454832338131606,0.10456707438797558,0.9763697948855544,1,0,1
2023-01-07 12:00:00,0.8011982401452451,1.8658656191874583,176.39273771132292,81.36915294898799,1.0466872163102767,1.0460955836827508,0.10462486711501484,0.9771662546849318,1,0,1
2023-01-07 18:00:00,0.8007657808059784,1.8674398910427068,176.6836455156168,81.27538325636283,1.046985224243424,1.0465688897847716,0.10466872163102768,0.9777074790791949,1,0,1
2023-01-08 00:00:00,0.8002645311893256,1.8686896766514438,176.97463164596147,81.18152252806642,1.0471417019108304,1.0469019573516936,0.10469852242434241,0.9779916645700416,1,0,1
2023-01-08 06:00:00,0.7996940762045979,1.869613274956317,177.26567690977527,81.07395298107872,1.047155820650057,1.047093752999003,0.10471417019108305,0.9780173061897293,1,0,1
2023-01-08 12:00:00,0.7990540541975861,1.8702094162330873,177.55676209383145,80.90998530132778,1.0470269180776552,1.0471434071198462,0.10471558206500571,0.977783200956589,1,0,1
