t,spark,resonance,photons,lattice,Q,coherence,p_extracted,p_out
0.0,0.9809934283060224,0.016711958446429545,2.7928955511518783e-09,0.0015040786341398774,1200.0,0.9949369106233333,0.0010829366165807117,0.0009854723210884478
0.02,0.9610970311375596,0.03312218825081866,1.0970793545226699e-08,0.004310528591386314,1200.0035999976,0.9908242838012404,0.003103580585798146,0.002824258333076313
0.04,0.9431704675910099,0.049260339791832926,2.4265810764068386e-08,0.008243275304595935,1200.0108,0.9875393501445416,0.005935158219309073,0.005400993979571256
0.06,0.9273531179520057,0.06515814565578182,4.2455839453000795e-08,0.013148826518763087,1200.0216000323994,0.9849580800423762,0.009467155093509422,0.008615111135093575
0.08,0.9083377488435189,0.08076773649099474,6.523427257878763e-08,0.018886359804875536,1200.0360001379977,0.9829955983380583,0.013598179059510386,0.012374342944154453
0.1,0.8897027199527502,0.09609491491378983,9.234232672288507e-08,0.02533105584588554,1200.0540003779922,0.981561789827004,0.018238360209037588,0.016596907790224207
0.12,0.8750670911847099,0.11119975753984451,1.2365386076920208e-07,0.03237716452097684,1200.0756008315795,0.9805632007988474,0.023311558455103323,0.021213518194144024
0.14,0.8591006188193215,0.12606238697704877,1.5891725410351197e-07,0.03992866493682941,1200.1008015959533,0.9799413373737988,0.028748638754517174,0.02616126126661063
0.16,0.8409796576710652,0.14065057331580882,1.9782583774065715e-07,0.04789712685829889,1200.129602786304,0.9796480750632014,0.0344859313379752,0.031382197517557435
0.18,0.8252451846048158,0.15500019698151693,2.4025061064309053e-07,0.05620708360892245,1200.1620045358186,0.9796225473880162,0.04046910019842417,0.03682688118056599
0.2,0.8078134455270946,0.1690858793324567,2.8590034589630106e-07,0.06478912493334377,1200.1980069956787,0.979828682718219,0.04664816995200751,0.04244983465632684
0.22,0.7907257171094122,0.1829128604500295,3.3457114518011963e-07,0.07358207632090703,1200.2376103350598,0.980226565712386,0.05297909495105306,0.04821097640545829
0.24,0.775395127310356,0.19650757438721228,3.861522679154577e-07,0.08253406256427115,1200.2808147411301,0.9807760152728158,0.059424525046275226,0.05407631779211046
0.26,0.7560606642748332,0.20981003231932263,4.4020249661835214e-07,0.09159374048137663,1200.3276204190495,0.9814651846576089,0.06594749314659117,0.06001221876339796
0.28,0.7374896153243105,0.22283176283583145,4.965399452852424e-07,0.10071679953624138,1200.3780275919673,0.9822644465219805,0.0725160956660938,0.06598964705614535
0.3,0.7216152479593423,0.23561329338574788,5.551362402007851e-07,0.10986783668926076,1200.432036501022,0.9831408611753912,0.07910484241626774,0.07198540659880365
0.32,0.7051572807594866,0.24814593415872385,6.157640463950571e-07,0.11901493834531308,1200.4896474053382,0.9840792064843294,0.08569075560862542,0.07797858760384914
0.34,0.6916826298094874,0.2604745085340163,6.784696959603734e-07,0.128134155511602,1200.5508605820264,0.9850526020514901,0.09225659196835344,0.08395349869120163
0.36,0.6760329290622552,0.2725664400072168,7.429246421820773e-07,0.13720162376443923,1200.61567632618,0.9860582379873947,0.09878516911039624,0.08989450389046058
0.38,0.6596876630783396,0.28441135068329276,8.088981639749493e-07,0.14619561360827588,1200.6840949508737,0.987087875719512,0.10526084179795862,0.09578736603614235
0.4,0.649425207354616,0.2961005740856831,8.767554997387109e-07,0.15510547657478055,1200.7561167871622,0.9881086651799982,0.11167594313384199,0.10162510825179621
0.42,0.6359851506065506,0.30758647377815196,9.460943885127777e-07,0.1639177819060507,1200.8317421840766,0.9891284317617239,0.1180208029723565,0.10739893070484441
0.44,0.6234005040037954,0.3188819374345046,1.0168569002198333e-06,0.1726221455892193,1200.910971508623,0.9901384495223078,0.12428794482423788,0.11310202979005647
0.46,0.6080829975512926,0.3299459967244781,1.0886436075450934e-06,0.1812060231899354,1200.9938051457812,0.9911450347780173,0.13046833669675348,0.11872618639404567
0.48,0.5948325721512163,0.34080972564337414,1.1615126909311197e-06,0.1896614963635378,1201.0802434985,0.9921354815182758,0.13655627738174722,0.12426621241738997
0.5,0.5831577658876117,0.35149681950173933,1.2355001411983832e-06,0.1979840359418758,1201.1702869876965,0.9931011375003673,0.14254850587815057,0.12971914034911702
0.52,0.5691926234150149,0.36197293811196485,1.3102440792540835e-06,0.2061668518512405,1201.263936052252,0.9940493694716537,0.14844013333289316,0.13508052133293277
0.54,0.5585601669834059,0.3722881558137363,1.3859847095919283e-06,0.2142087936376913,1201.3611911490102,0.9949655570733772,0.15423033141913772,0.14034960159141532
0.56,0.5461876862639001,0.38241638545326273,1.4624229186313844e-06,0.22210676497441348,1201.4620527527748,0.9958564867023874,0.1599168707815777,0.1455243524112357
0.58,0.5346805450390356,0.3923706573137945,1.5395473272085917e-06,0.22985949945378456,1201.5665213563047,0.9967183843061639,0.16549883960672487,0.15060394404211963
0.6,0.5227835209137961,0.4021451516348591,1.6172072298342381e-06,0.23746562332191265,1201.674597470313,0.9975529100711272,0.1709752487917771,0.15558747640051718
0.62,0.5160324068645381,0.4118171828215306,1.6959339206706199e-06,0.24493115025280385,1201.7862816234617,0.9983412846642089,0.17635042818201876,0.16047888964563709
0.64,0.5056847642777715,0.4213327642240227,1.7752129820865594e-06,0.2522566733109431,1201.9015743623604,0.9991000587558121,0.18162480478387902,0.1652785723533299
0.66,0.4934556471343043,0.4306636649434257,1.8547119230250323e-06,0.25944039331169866,1202.0204762515614,0.9988432050486188,0.18679708318442304,0.16998534569782497
0.68,0.48523162401582454,0.4398700794452139,1.934856867911388e-06,0.2664863943001056,1202.1429878735566,0.9981028027831651,0.19187020389607604,0.1746018855454292
0.7000000000000001,0.473085304235566,0.4488931074980279,2.0150502195923606e-06,0.2733931273247955,1202.2691098287748,0.9973823229174189,0.19684305167385274,0.179127177023206
0.72,0.4640413253408642,0.4577793886811988,2.0956196870133207e-06,0.2801636618809038,1202.3988427355762,0.9966931146865752,0.20171783655425074,0.1835632312643682
0.74,0.45084115858628737,0.4664664929202029,2.1759098901727374e-06,0.2867952381309303,1202.53218723025,0.9960182979022805,0.2064925714542698,0.18790824002338552
0.76,0.4391679633167648,0.4749773908091096,2.2560352177982966e-06,0.29328774033906413,1202.6691439670096,0.9953640458553661,0.21116717304412616,0.19216212747015482
0.78,0.43077832652216774,0.48336145652779705,2.3363829765667343e-06,0.29964571150397734,1202.8097136179897,0.9947417271854742,0.2157449122828637,0.19632787017740597
0.8,0.4236396931517152,0.49163751650034476,2.417074476306268e-06,0.3058749584226651,1202.95389687324,0.9941534508592372,0.22022997006431885,0.20040927275853015
0.8200000000000001,0.4155096358510608,0.49979068654091685,2.49790730353041e-06,0.31197933054138716,1203.1016944407231,0.9935928044219029,0.22462511798979876,0.20440885737071687
0.84,0.4069681465692631,0.5078147995964873,2.578758706892206e-06,0.3179617615160418,1203.2531070463094,0.9930563173512914,0.22893246829155006,0.20832854614531057
0.86,0.39822657624669927,0.5157068646285072,2.6595357022496547e-06,0.32382467202042825,1203.4081354337718,0.9925416909981771,0.23315376385470832,0.21216992510778457
0.88,0.3873050007410304,0.5234341116193216,2.7398326920670846e-06,0.32956735245062496,1203.5667803647816,0.9920398401182496,0.23728849376444996,0.21593252932564946
0.9,0.37811921230942036,0.5310226626364934,2.8198506823355114e-06,0.33519169386516556,1203.7290426189047,0.991556882516703,0.2413380195829192,0.21961759782045648
0.92,0.36963555052131236,0.5384830936210091,2.899640421156525e-06,0.34070042212121676,1203.8949229935954,0.9910942155996623,0.24530430392727606,0.22322691657382124
0.9400000000000001,0.36435708396332395,0.5458636418751509,2.9796711552120307e-06,0.34610036422110224,1204.064422304192,0.9906617360739742,0.2491922622391936,0.2267649586376662
0.96,0.3577571788631944,0.5531444384115595,3.0596876974563956e-06,0.35139573293000426,1204.237541383912,0.9902517514767187,0.25300492770960303,0.23023448421573878
0.98,0.34707595497520505,0.560264072841934,3.1389583131743196e-06,0.3565847438414746,1204.4142810838462,0.9898479918372874,0.2567410155658617,0.23363432416493415
1.0,0.3407826038144905,0.5672885988025363,3.2181635433134504e-06,0.3616719290137189,1204.5946422729544,0.9894663090783177,0.2604037888898776,0.2369674478897886
1.02,0.33319678717736806,0.5741985707344421,3.2970399863347618e-06,0.36665954434035647,1204.7786258380595,0.9891001505491526,0.26399487192505666,0.24023533345180156
1.04,0.3251790074332088,0.5809874935415134,3.3754646765165007e-06,0.3715490503639833,1204.9662326838416,0.9887469070218315,0.2675153162620679,0.24343893779848183
1.06,0.31989877986222637,0.5876965992899015,3.453872928169151e-06,0.3763455162619777,1205.1574637328333,0.9884153261549947,0.27096877170862393,0.24658158225484778
1.08,0.3155628033099737,0.5943401206079499,3.5324017896427247e-06,0.38105466927778464,1205.3523199254132,0.9881064940581358,0.2743593618800049,0.24966701931080448
1.1,0.31111410748200663,0.6009163713712422,3.611004853819807e-06,0.385681358694797,1205.5508022198007,0.9878175928391891,0.27769057826025384,0.25269842621683103
1.12,0.3032133902859212,0.6073733532074769,3.6890239018649447e-06,0.3902251440373363,1205.752911592049,0.9875346406820552,0.2809621037068821,0.25567551437326275
1.1400000000000001,0.2965306977285003,0.6137294238206201,3.766638056631904e-06,0.39468738174341195,1205.9586490360402,0.9872618745345495,0.2841749148552566,0.2585991725182835
1.16,0.2912626106367374,0.6200059083210844,3.844073263530529e-06,0.3990712319521137,1206.168015563479,0.9870034999628801,0.28733128700552185,0.2614714711750249
1.18,0.28738844867824737,0.6262238260064881,3.921562802582043e-06,0.40338136690897186,1206.3810122038851,0.9867629471396844,0.2904345841744597,0.2642954715987584
1.2,0.28068233122899183,0.6323404898633658,3.998544951206414e-06,0.4076180122946648,1206.5976400045886,0.9865285882693815,0.29348496885215863,0.2670713216554644
1.22,0.27469736665108435,0.6383667768197345,4.075121417472168e-06,0.41178240741818617,1206.8179000307223,0.9863026983208975,0.29648333334109406,0.2697998333403956
1.24,0.26699074937005063,0.6442767237808412,4.150924968057744e-06,0.41587334024739914,1207.0417933652154,0.9860788280691775,0.29942880497812735,0.2724802125300959
1.26,0.2592585211344883,0.6500699423783798,4.2259092998383005e-06,0.41988980421464883,1207.2693211087867,0.9858572631029933,0.30232065903454713,0.2751117997214379
1.28,0.25569840235658686,0.6558093776034102,4.300859397525723e-06,0.4238366690871804,1207.500484379938,0.9856524751034315,0.3051624017427699,0.2776977855859206
1.3,0.25329691436659674,0.6615125213412559,4.3759881589126565e-06,0.4277197295285719,1207.735284314946,0.9854664456075088,0.30795820526057177,0.2802419667871203
1.32,0.24808695583610413,0.6671369935834865,4.45071768207613e-06,0.43154017386463844,1207.9737220678576,0.9852873816734272,0.3107089251825397,0.2827451219161111
1.34,0.24513228251516608,0.6727168431069874,4.5254795099983116e-06,0.43530213295841497,1208.2157988104796,0.9851223811551537,0.31341753573005876,0.28520995751435346
1.36,0.24095290891495802,0.6782335849883191,4.600007958061075e-06,0.4390075164145999,1208.4615157323735,0.9849656834649789,0.3160854118185119,0.28763772475484584
1.3800000000000001,0.2348436112274486,0.6836580755128083,4.673883642138768e-06,0.44265537550440504,1208.710874040848,0.9848100117244593,0.3187118703631716,0.29002780203048617
1.4000000000000001,0.23086953021391643,0.6890225656324124,4.747520959506721e-06,0.44624784878866064,1208.96387496095,0.9846628404286846,0.32129845112783567,0.29238159052633045
1.42,0.22932821274257004,0.6943638148936228,4.821411074336252e-06,0.44979011149322706,1209.2205197354583,0.9845314704574732,0.3238488802751235,0.2947024810503624
1.44,0.22466999640949872,0.6996347305877272,4.894887562445616e-06,0.4532823750619893,1209.480809624875,0.9844034798484756,0.3263633100446323,0.2969906121406154
1.46,0.22330588379293675,0.7048851041920514,4.968630101118392e-06,0.4567293388551853,1209.744745907418,0.9842897515643543,0.3288451239757334,0.2992490628179174
1.48,0.21360027590889852,0.7099888331433127,5.040841431882029e-06,0.46012368973046636,1210.0123298790124,0.9841606700649009,0.33128905660593577,0.3014730415114016
1.5,0.210972075399471,0.7150529228039221,5.113006824104317e-06,0.4634688680509581,1210.2835628532832,0.9840424768853883,0.33369758499668983,0.3036648023469878
1.52,0.20692672802795792,0.7200559432540916,5.184805614155396e-06,0.4667659097417801,1210.558446161546,0.983929145923529,0.33607145501408164,0.3058250240628143
1.54,0.20219017876646703,0.7249874366934347,5.256067833633171e-06,0.4700147892655706,1210.8369811527996,0.9838179626269123,0.3384106482712108,0.30795368992680183
1.56,0.19832989674420867,0.7298606592601692,5.326965819356889e-06,0.4732167114660266,1211.119169193716,0.983711803180245,0.34071603225553915,0.3100515893525406
1.58,0.1903881609801227,0.7346138332386118,5.396574839855271e-06,0.47636717282236085,1211.405011668634,0.9835966889809669,0.3429843644320998,0.3121157716332108
1.6,0.1861410539848452,0.7393028752297511,5.4656874132297696e-06,0.47946741016037087,1211.6945099795478,0.9834864362480666,0.34521653531546703,0.31414704713707503
1.62,0.1831324580481718,0.7439465362883666,5.53456448855458e-06,0.48252019629747017,1211.9876655461,0.9833846429880039,0.3474145413341785,0.31614723261410244
1.6400000000000001,0.1824255969766914,0.7485796811761954,5.603715390698544e-06,0.4855310577692071,1212.284479805572,0.9832978463513832,0.3495823615938291,0.3181199490503845
1.6600000000000001,0.17774054460061026,0.753142048757099,5.672229456060405e-06,0.4884992946143191,1212.5849542128742,0.9832109302249721,0.35171949212230974,0.32006473783130185
1.68,0.17256874650281168,0.7576262553915243,5.739975428585832e-06,0.49142367430237105,1212.8890902405378,0.9831225241526368,0.35382504549770716,0.3219807914029135
1.7,0.16811385748558638,0.7620431578163451,5.807097743747071e-06,0.49430415422814683,1213.1968893787048,0.9830353977041817,0.3558989910442657,0.3238680818502818
1.72,0.1665823845712788,0.7664370730210296,5.874257869010431e-06,0.4971447141495445,1213.508353135118,0.9829591104702625,0.357944194187672,0.32572921671078153
1.74,0.1639082390991726,0.7707906771054821,5.941182679127276e-06,0.4999471981291159,1213.8234830351128,0.9828884720662913,0.3599619826529635,0.3275654042141968
