symbol,internal_pair,wsname,base_asset,quote_asset,asset_class,spot_trade_ready,margin_trade_ready,snapshot_status,bid,ask,mid_price,spread,spread_pct,ordermin,costmin,lot_decimals,pair_decimals,lot_step,tick_size,entry_maker_fee_pct,entry_taker_fee_pct,lowest_maker_fee_pct,lowest_taker_fee_pct,margin_supported,leverage_buy,leverage_sell,max_leverage,min_notional_estimate,min_margin_required_estimate,blockers,spot_buy_call,spot_sell_call,limit_buy_call,take_profit_call,margin_long_call,margin_short_call,margin_close_call
HOUSEUSD,HOUSEUSD,HOUSE/USD,HOUSE,USD,crypto_fiat_or_stable_pair,False,False,ticker_not_sampled_budget,0.0,0.0,0.0,0.0,0.0,2000.0,0.5,5,6,1e-05,1e-06,0.25,0.4,0.0,0.05,False,,,1,0.5,0.0,ticker_not_sampled_budget,"client.place_market_order(""HOUSEUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""HOUSEUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""HOUSEUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""HOUSEUSD"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
HPOS10IEUR,HPOS10IEUR,HPOS10I/EUR,HPOS10I,EUR,crypto_fiat_or_stable_pair,False,False,ticker_not_sampled_budget,0.0,0.0,0.0,0.0,0.0,230.0,0.45,5,5,1e-05,1e-05,0.23,0.4,-0.02,0.05,False,,,1,0.45,0.0,ticker_not_sampled_budget,"client.place_market_order(""HPOS10IEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""HPOS10IEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""HPOS10IEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""HPOS10IEUR"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
HPOS10IUSD,HPOS10IUSD,HPOS10I/USD,HPOS10I,USD,crypto_fiat_or_stable_pair,False,False,ticker_not_sampled_budget,0.0,0.0,0.0,0.0,0.0,230.0,0.5,5,5,1e-05,1e-05,0.23,0.4,-0.02,0.05,False,,,1,0.5,0.0,ticker_not_sampled_budget,"client.place_market_order(""HPOS10IUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""HPOS10IUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""HPOS10IUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""HPOS10IUSD"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
HSKEUR,HSKEUR,HSK/EUR,HSK,EUR,crypto_fiat_or_stable_pair,False,False,ticker_not_sampled_budget,0.0,0.0,0.0,0.0,0.0,30.0,0.45,5,5,1e-05,1e-05,0.23,0.4,-0.02,0.05,False,,,1,0.45,0.0,ticker_not_sampled_budget,"client.place_market_order(""HSKEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""HSKEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""HSKEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""HSKEUR"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
HSKUSD,HSKUSD,HSK/USD,HSK,USD,crypto_fiat_or_stable_pair,False,False,ticker_not_sampled_budget,0.0,0.0,0.0,0.0,0.0,30.0,0.5,5,5,1e-05,1e-05,0.23,0.4,-0.02,0.05,False,,,1,0.5,0.0,ticker_not_sampled_budget,"client.place_market_order(""HSKUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""HSKUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""HSKUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""HSKUSD"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
HUSD,HUSD,H/USD,H,USD,crypto_fiat_or_stable_pair,False,False,ticker_not_sampled_budget,0.0,0.0,0.0,0.0,0.0,26.0,0.5,5,5,1e-05,1e-05,0.23,0.4,-0.02,0.05,False,,,1,0.5,0.0,ticker_not_sampled_budget,"client.place_market_order(""HUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""HUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""HUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""HUSD"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
HYPEEUR,HYPEEUR,HYPE/EUR,HYPE,EUR,crypto_fiat_or_stable_pair,False,False,ticker_not_sampled_budget,0.0,0.0,0.0,0.0,0.0,0.1,0.45,8,2,1e-08,0.01,0.23,0.4,-0.02,0.05,True,2;3,2;3,3,0.45,0.15,ticker_not_sampled_budget,"client.place_market_order(""HYPEEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""HYPEEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""HYPEEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""HYPEEUR"", close_side, quantity=base_qty, take_profit_price=target_price)","client.place_margin_order(""HYPEEUR"", ""buy"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.place_margin_order(""HYPEEUR"", ""sell"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.close_margin_position(""HYPEEUR"", close_side, volume=base_qty)"
HYPEUSD,HYPEUSD,HYPE/USD,HYPE,USD,crypto_fiat_or_stable_pair,False,False,ticker_not_sampled_budget,0.0,0.0,0.0,0.0,0.0,0.1,0.5,8,2,1e-08,0.01,0.23,0.4,-0.02,0.05,True,2;3;4;5,2;3;4;5,5,0.5,0.1,ticker_not_sampled_budget,"client.place_market_order(""HYPEUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""HYPEUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""HYPEUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""HYPEUSD"", close_side, quantity=base_qty, take_profit_price=target_price)","client.place_margin_order(""HYPEUSD"", ""buy"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.place_margin_order(""HYPEUSD"", ""sell"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.close_margin_position(""HYPEUSD"", close_side, volume=base_qty)"
IAGEUR,IAGEUR,IAG/EUR,IAG,EUR,crypto_fiat_or_stable_pair,False,False,ticker_not_sampled_budget,0.0,0.0,0.0,0.0,0.0,180.0,0.45,5,5,1e-05,1e-05,0.23,0.4,-0.02,0.05,False,,,1,0.45,0.0,ticker_not_sampled_budget,"client.place_market_order(""IAGEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""IAGEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""IAGEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""IAGEUR"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
IAGUSD,IAGUSD,IAG/USD,IAG,USD,crypto_fiat_or_stable_pair,False,False,ticker_not_sampled_budget,0.0,0.0,0.0,0.0,0.0,180.0,0.5,5,5,1e-05,1e-05,0.23,0.4,-0.02,0.05,False,,,1,0.5,0.0,ticker_not_sampled_budget,"client.place_market_order(""IAGUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""IAGUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""IAGUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""IAGUSD"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
