symbol,internal_pair,wsname,base_asset,quote_asset,asset_class,spot_trade_ready,margin_trade_ready,snapshot_status,bid,ask,mid_price,spread,spread_pct,ordermin,costmin,lot_decimals,pair_decimals,lot_step,tick_size,entry_maker_fee_pct,entry_taker_fee_pct,lowest_maker_fee_pct,lowest_taker_fee_pct,margin_supported,leverage_buy,leverage_sell,max_leverage,min_notional_estimate,min_margin_required_estimate,blockers,spot_buy_call,spot_sell_call,limit_buy_call,take_profit_call,margin_long_call,margin_short_call,margin_close_call
0GEUR,0GEUR,0G/EUR,0G,EUR,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.447,0.448,0.4475,0.0010000000000000009,0.2234636871508382,10.0,0.45,5,3,1e-05,0.001,0.23,0.4,-0.02,0.05,False,,,1,0.45,0.0,,"client.place_market_order(""0GEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""0GEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""0GEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""0GEUR"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
0GUSD,0GUSD,0G/USD,0G,USD,crypto_fiat_or_stable_pair,True,True,fresh_ticker,0.52,0.521,0.5205,0.0010000000000000009,0.19212295869356408,10.0,0.5,5,3,1e-05,0.001,0.23,0.4,-0.02,0.05,True,2;3,,3,0.5,0.16666666666666666,,"client.place_market_order(""0GUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""0GUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""0GUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""0GUSD"", close_side, quantity=base_qty, take_profit_price=target_price)","client.place_margin_order(""0GUSD"", ""buy"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.place_margin_order(""0GUSD"", ""sell"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.close_margin_position(""0GUSD"", close_side, volume=base_qty)"
1INCHEUR,1INCHEUR,1INCH/EUR,1INCH,EUR,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.0815,0.0817,0.0816,0.00019999999999999185,0.24509803921567624,55.0,0.45,8,4,1e-08,0.0001,0.25,0.4,0.0,0.05,False,,,1,0.45,0.0,,"client.place_market_order(""1INCHEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""1INCHEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""1INCHEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""1INCHEUR"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
1INCHUSD,1INCHUSD,1INCH/USD,1INCH,USD,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.0948,0.095,0.0949,0.00020000000000000573,0.21074815595364146,55.0,0.5,8,4,1e-08,0.0001,0.25,0.4,0.0,0.05,False,,,1,0.5,0.0,,"client.place_market_order(""1INCHUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""1INCHUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""1INCHUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""1INCHUSD"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
2ZEUR,2ZEUR,2Z/EUR,2Z,EUR,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.08001,0.08039,0.0802,0.00038000000000000533,0.47381546134664015,54.0,0.45,5,5,1e-05,1e-05,0.23,0.4,-0.02,0.05,False,,,1,0.45,0.0,,"client.place_market_order(""2ZEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""2ZEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""2ZEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""2ZEUR"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
2ZUSD,2ZUSD,2Z/USD,2Z,USD,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.0931,0.09343,0.093265,0.00032999999999999696,0.35383048303221676,54.0,0.5,5,5,1e-05,1e-05,0.23,0.4,-0.02,0.05,False,,,1,0.5,0.0,,"client.place_market_order(""2ZUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""2ZUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""2ZUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""2ZUSD"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
AAVEETH,AAVEETH,AAVE/ETH,AAVE,ETH,crypto_cross_pair,True,False,fresh_ticker,0.042,0.0426,0.042300000000000004,0.0005999999999999964,1.4184397163120481,0.05,0.0002,8,4,1e-08,0.0001,0.25,0.4,0.0,0.05,False,,,1,0.0002,0.0,,"client.place_market_order(""AAVEETH"", ""buy"", quantity=base_qty)","client.place_market_order(""AAVEETH"", ""sell"", quantity=base_qty)","client.place_limit_order(""AAVEETH"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""AAVEETH"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
AAVEEUR,AAVEEUR,AAVE/EUR,AAVE,EUR,crypto_fiat_or_stable_pair,True,True,fresh_ticker,80.06,80.11,80.08500000000001,0.04999999999999716,0.06243366423175021,0.05,0.45,8,2,1e-08,0.01,0.25,0.4,0.0,0.05,True,2;3,2;3,3,0.45,0.15,,"client.place_market_order(""AAVEEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""AAVEEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""AAVEEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""AAVEEUR"", close_side, quantity=base_qty, take_profit_price=target_price)","client.place_margin_order(""AAVEEUR"", ""buy"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.place_margin_order(""AAVEEUR"", ""sell"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.close_margin_position(""AAVEEUR"", close_side, volume=base_qty)"
AAVEGBP,AAVEGBP,AAVE/GBP,AAVE,GBP,crypto_fiat_or_stable_pair,True,False,fresh_ticker,69.62,69.97,69.795,0.3499999999999943,0.5014685865749614,0.05,0.43,8,2,1e-08,0.01,0.25,0.4,0.0,0.05,False,,,1,0.43,0.0,,"client.place_market_order(""AAVEGBP"", ""buy"", quantity=base_qty)","client.place_market_order(""AAVEGBP"", ""sell"", quantity=base_qty)","client.place_limit_order(""AAVEGBP"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""AAVEGBP"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
AAVEUSD,AAVEUSD,AAVE/USD,AAVE,USD,crypto_fiat_or_stable_pair,True,True,fresh_ticker,93.05,93.1,93.07499999999999,0.04999999999999716,0.05372011818425696,0.05,0.5,8,2,1e-08,0.01,0.25,0.4,0.0,0.05,True,2;3;4;5,2;3;4;5,5,0.5,0.1,,"client.place_market_order(""AAVEUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""AAVEUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""AAVEUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""AAVEUSD"", close_side, quantity=base_qty, take_profit_price=target_price)","client.place_margin_order(""AAVEUSD"", ""buy"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.place_margin_order(""AAVEUSD"", ""sell"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.close_margin_position(""AAVEUSD"", close_side, volume=base_qty)"
AAVEXBT,AAVEXBT,AAVE/XBT,AAVE,BTC,crypto_cross_pair,True,False,fresh_ticker,0.001177,0.00118,0.0011785,2.9999999999999645e-06,0.2545608824777229,0.05,2e-05,8,6,1e-08,1e-06,0.25,0.4,0.0,0.05,False,,,1,2e-05,0.0,,"client.place_market_order(""AAVEXBT"", ""buy"", quantity=base_qty)","client.place_market_order(""AAVEXBT"", ""sell"", quantity=base_qty)","client.place_limit_order(""AAVEXBT"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""AAVEXBT"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
ABEUR,ABEUR,AB/EUR,AB,EUR,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.001244,0.001247,0.0012455,2.9999999999999645e-06,0.24086712163789353,3000.0,0.45,5,6,1e-05,1e-06,0.23,0.4,-0.02,0.05,False,,,1,0.45,0.0,,"client.place_market_order(""ABEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""ABEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""ABEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ABEUR"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
ABUSD,ABUSD,AB/USD,AB,USD,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.001447,0.001448,0.0014475,1.0000000000001327e-06,0.06908462867013007,3000.0,0.5,5,6,1e-05,1e-06,0.23,0.4,-0.02,0.05,False,,,1,0.5,0.0,,"client.place_market_order(""ABUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""ABUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""ABUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ABUSD"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
ACAEUR,ACAEUR,ACA/EUR,ACA,EUR,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.00066,0.00068,0.00067,2.0000000000000052e-05,2.9850746268656794,7800.0,0.45,8,5,1e-08,1e-05,0.25,0.4,0.0,0.05,False,,,1,0.45,0.0,,"client.place_market_order(""ACAEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""ACAEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""ACAEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ACAEUR"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
ACAUSD,ACAUSD,ACA/USD,ACA,USD,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.00076,0.00078,0.0007700000000000001,1.9999999999999944e-05,2.59740259740259,7800.0,0.5,8,5,1e-08,1e-05,0.25,0.4,0.0,0.05,False,,,1,0.5,0.0,,"client.place_market_order(""ACAUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""ACAUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""ACAUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ACAUSD"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
ACHEUR,ACHEUR,ACH/EUR,ACH,EUR,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.00642,0.00644,0.00643,2.0000000000000052e-05,0.3110419906687411,620.0,0.45,8,5,1e-08,1e-05,0.25,0.4,0.0,0.05,False,,,1,0.45,0.0,,"client.place_market_order(""ACHEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""ACHEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""ACHEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ACHEUR"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
ACHUSD,ACHUSD,ACH/USD,ACH,USD,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.00746,0.00748,0.007469999999999999,2.0000000000000052e-05,0.2677376171352082,620.0,0.5,8,5,1e-08,1e-05,0.25,0.4,0.0,0.05,False,,,1,0.5,0.0,,"client.place_market_order(""ACHUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""ACHUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""ACHUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ACHUSD"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
ACTEUR,ACTEUR,ACT/EUR,ACT,EUR,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.01209,0.0124,0.012244999999999999,0.0003099999999999995,2.5316455696202493,310.0,0.45,5,5,1e-05,1e-05,0.25,0.4,0.0,0.05,False,,,1,0.45,0.0,,"client.place_market_order(""ACTEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""ACTEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""ACTEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ACTEUR"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
ACTUSD,ACTUSD,ACT/USD,ACT,USD,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.01418,0.01429,0.014235000000000001,0.00011000000000000072,0.7727432384966682,310.0,0.5,5,5,1e-05,1e-05,0.25,0.4,0.0,0.05,False,,,1,0.5,0.0,,"client.place_market_order(""ACTUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""ACTUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""ACTUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ACTUSD"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
ACUEUR,ACUEUR,ACU/EUR,ACU,EUR,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.0815,0.0817,0.0816,0.00019999999999999185,0.24509803921567624,47.0,0.45,5,4,1e-05,0.0001,0.23,0.4,-0.02,0.05,False,,,1,0.45,0.0,,"client.place_market_order(""ACUEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""ACUEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""ACUEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ACUEUR"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
ACUUSD,ACUUSD,ACU/USD,ACU,USD,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.0947,0.0949,0.0948,0.00019999999999999185,0.2109704641350125,47.0,0.5,5,4,1e-05,0.0001,0.23,0.4,-0.02,0.05,False,,,1,0.5,0.0,,"client.place_market_order(""ACUUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""ACUUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""ACUUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ACUUSD"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
ACXEUR,ACXEUR,ACX/EUR,ACX,EUR,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.03583,0.03801,0.03692,0.0021800000000000014,5.904658721560133,110.0,0.45,5,5,1e-05,1e-05,0.25,0.4,0.0,0.05,False,,,1,0.45,0.0,,"client.place_market_order(""ACXEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""ACXEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""ACXEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ACXEUR"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
ACXUSD,ACXUSD,ACX/USD,ACX,USD,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.042,0.04249,0.042245000000000005,0.0004899999999999974,1.1599005799502837,110.0,0.5,5,5,1e-05,1e-05,0.25,0.4,0.0,0.05,False,,,1,0.5,0.0,,"client.place_market_order(""ACXUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""ACXUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""ACXUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ACXUSD"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
ADAAUD,ADAAUD,ADA/AUD,ADA,AUD,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.36101,0.3624,0.361705,0.0013900000000000023,0.3842910659238889,20.0,1.0,8,5,1e-08,1e-05,0.25,0.4,0.0,0.05,False,,,1,1.0,0.0,,"client.place_market_order(""ADAAUD"", ""buy"", quantity=base_qty)","client.place_market_order(""ADAAUD"", ""sell"", quantity=base_qty)","client.place_limit_order(""ADAAUD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ADAAUD"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
ADAETH,ADAETH,ADA/ETH,ADA,ETH,crypto_cross_pair,True,True,fresh_ticker,0.0001169,0.0001176,0.00011725,7.000000000000035e-07,0.5970149253731373,20.0,0.0002,8,7,1e-08,1e-07,0.25,0.4,0.0,0.05,True,2;3,2;3,3,0.0002,6.666666666666667e-05,,"client.place_market_order(""ADAETH"", ""buy"", quantity=base_qty)","client.place_market_order(""ADAETH"", ""sell"", quantity=base_qty)","client.place_limit_order(""ADAETH"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ADAETH"", close_side, quantity=base_qty, take_profit_price=target_price)","client.place_margin_order(""ADAETH"", ""buy"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.place_margin_order(""ADAETH"", ""sell"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.close_margin_position(""ADAETH"", close_side, volume=base_qty)"
ADAEUR,ADAEUR,ADA/EUR,ADA,EUR,crypto_fiat_or_stable_pair,True,True,fresh_ticker,0.222368,0.222489,0.2224285,0.00012099999999998223,0.05439950366071894,20.0,0.45,8,6,1e-08,1e-06,0.25,0.4,0.0,0.05,True,2;3;4;5;6;7;8;9;10,2;3;4;5;6;7;8;9;10,10,0.45,0.045,,"client.place_market_order(""ADAEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""ADAEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""ADAEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ADAEUR"", close_side, quantity=base_qty, take_profit_price=target_price)","client.place_margin_order(""ADAEUR"", ""buy"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.place_margin_order(""ADAEUR"", ""sell"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.close_margin_position(""ADAEUR"", close_side, volume=base_qty)"
ADAGBP,ADAGBP,ADA/GBP,ADA,GBP,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.19371,0.19388,0.193795,0.00017000000000000348,0.0877215614437955,20.0,0.43,8,5,1e-08,1e-05,0.25,0.4,0.0,0.05,False,,,1,0.43,0.0,,"client.place_market_order(""ADAGBP"", ""buy"", quantity=base_qty)","client.place_market_order(""ADAGBP"", ""sell"", quantity=base_qty)","client.place_limit_order(""ADAGBP"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ADAGBP"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
ADAUSD,ADAUSD,ADA/USD,ADA,USD,crypto_fiat_or_stable_pair,True,True,fresh_ticker,0.258444,0.258512,0.258478,6.80000000000125e-05,0.026307848250146048,20.0,0.5,8,6,1e-08,1e-06,0.25,0.4,0.0,0.05,True,2;3;4;5;6;7;8;9;10,2;3;4;5;6;7;8;9;10,10,0.5,0.05,,"client.place_market_order(""ADAUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""ADAUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""ADAUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ADAUSD"", close_side, quantity=base_qty, take_profit_price=target_price)","client.place_margin_order(""ADAUSD"", ""buy"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.place_margin_order(""ADAUSD"", ""sell"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.close_margin_position(""ADAUSD"", close_side, volume=base_qty)"
ADAUSDC,ADAUSDC,ADA/USDC,ADA,USDC,crypto_fiat_or_stable_pair,True,True,fresh_ticker,0.258493,0.258711,0.258602,0.00021800000000005149,0.08429942537182677,20.0,0.5,8,6,1e-08,1e-06,0.25,0.4,0.0,0.05,True,2;3;4;5;6;7;8;9;10,2;3;4;5;6;7;8;9;10,10,0.5,0.05,,"client.place_market_order(""ADAUSDC"", ""buy"", quantity=base_qty)","client.place_market_order(""ADAUSDC"", ""sell"", quantity=base_qty)","client.place_limit_order(""ADAUSDC"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ADAUSDC"", close_side, quantity=base_qty, take_profit_price=target_price)","client.place_margin_order(""ADAUSDC"", ""buy"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.place_margin_order(""ADAUSDC"", ""sell"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.close_margin_position(""ADAUSDC"", close_side, volume=base_qty)"
ADAUSDT,ADAUSDT,ADA/USDT,ADA,USDT,crypto_fiat_or_stable_pair,True,True,fresh_ticker,0.258563,0.258802,0.2586825,0.00023899999999998922,0.0923912518241432,20.0,0.5,8,6,1e-08,1e-06,0.25,0.4,0.0,0.05,True,2;3;4;5;6;7;8;9;10,2;3;4;5;6;7;8;9;10,10,0.5,0.05,,"client.place_market_order(""ADAUSDT"", ""buy"", quantity=base_qty)","client.place_market_order(""ADAUSDT"", ""sell"", quantity=base_qty)","client.place_limit_order(""ADAUSDT"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ADAUSDT"", close_side, quantity=base_qty, take_profit_price=target_price)","client.place_margin_order(""ADAUSDT"", ""buy"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.place_margin_order(""ADAUSDT"", ""sell"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.close_margin_position(""ADAUSDT"", close_side, volume=base_qty)"
ADAXBT,ADAXBT,ADA/XBT,ADA,BTC,crypto_cross_pair,True,True,fresh_ticker,3.269e-06,3.273e-06,3.2709999999999997e-06,3.999999999999877e-09,0.12228676245796016,20.0,2e-05,8,9,1e-08,1e-09,0.25,0.4,0.0,0.05,True,2;3,2;3,3,2e-05,6.6666666666666675e-06,,"client.place_market_order(""ADAXBT"", ""buy"", quantity=base_qty)","client.place_market_order(""ADAXBT"", ""sell"", quantity=base_qty)","client.place_limit_order(""ADAXBT"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ADAXBT"", close_side, quantity=base_qty, take_profit_price=target_price)","client.place_margin_order(""ADAXBT"", ""buy"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.place_margin_order(""ADAXBT"", ""sell"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.close_margin_position(""ADAXBT"", close_side, volume=base_qty)"
ADIEUR,ADIEUR,ADI/EUR,ADI,EUR,crypto_fiat_or_stable_pair,True,False,fresh_ticker,3.4444,3.4573,3.45085,0.012900000000000134,0.3738209426663035,1.2,0.45,5,4,1e-05,0.0001,0.23,0.4,-0.02,0.05,False,,,1,0.45,0.0,,"client.place_market_order(""ADIEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""ADIEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""ADIEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ADIEUR"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
ADIUSD,ADIUSD,ADI/USD,ADI,USD,crypto_fiat_or_stable_pair,True,False,fresh_ticker,4.0037,4.006,4.00485,0.0022999999999999687,0.057430365681610265,1.2,0.5,5,4,1e-05,0.0001,0.23,0.4,-0.02,0.05,False,,,1,0.5,0.0,,"client.place_market_order(""ADIUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""ADIUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""ADIUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ADIUSD"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
ADXEUR,ADXEUR,ADX/EUR,ADX,EUR,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.06241,0.06347,0.06294,0.0010599999999999984,1.6841436288528733,70.0,0.45,8,5,1e-08,1e-05,0.25,0.4,0.0,0.05,False,,,1,0.45,0.0,,"client.place_market_order(""ADXEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""ADXEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""ADXEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ADXEUR"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
ADXUSD,ADXUSD,ADX/USD,ADX,USD,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.07277,0.07653,0.07465,0.0037599999999999995,5.036838580040187,70.0,0.5,8,5,1e-08,1e-05,0.25,0.4,0.0,0.05,False,,,1,0.5,0.0,,"client.place_market_order(""ADXUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""ADXUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""ADXUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""ADXUSD"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
AEROEUR,AEROEUR,AERO/EUR,AERO,EUR,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.3811,0.3847,0.3829,0.003599999999999992,0.9401932619482873,10.0,0.45,5,4,1e-05,0.0001,0.23,0.4,-0.02,0.05,False,,,1,0.45,0.0,,"client.place_market_order(""AEROEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""AEROEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""AEROEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""AEROEUR"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
AEROUSD,AEROUSD,AERO/USD,AERO,USD,crypto_fiat_or_stable_pair,True,True,fresh_ticker,0.4456,0.4461,0.44584999999999997,0.0005000000000000004,0.11214534036110811,10.0,0.5,5,4,1e-05,0.0001,0.25,0.4,0.0,0.05,True,2;3,,3,0.5,0.16666666666666666,,"client.place_market_order(""AEROUSD"", ""buy"", quantity=base_qty)","client.place_market_order(""AEROUSD"", ""sell"", quantity=base_qty)","client.place_limit_order(""AEROUSD"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""AEROUSD"", close_side, quantity=base_qty, take_profit_price=target_price)","client.place_margin_order(""AEROUSD"", ""buy"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.place_margin_order(""AEROUSD"", ""sell"", quantity=base_qty, leverage=leverage, take_profit=target_price, stop_loss=stop_price)","client.close_margin_position(""AEROUSD"", close_side, volume=base_qty)"
AEUR,AEUR,A/EUR,A,EUR,crypto_fiat_or_stable_pair,True,False,fresh_ticker,0.0728,0.0735,0.07314999999999999,0.0006999999999999923,0.9569377990430518,56.0,0.45,5,4,1e-05,0.0001,0.25,0.4,0.0,0.05,False,,,1,0.45,0.0,,"client.place_market_order(""AEUR"", ""buy"", quantity=base_qty)","client.place_market_order(""AEUR"", ""sell"", quantity=base_qty)","client.place_limit_order(""AEUR"", ""buy"", quantity=base_qty, price=limit_price, post_only=True)","client.place_take_profit_order(""AEUR"", close_side, quantity=base_qty, take_profit_price=target_price)",,,
