id,C,re,im
"QSSR","0.9813448764664123","2.35230913800523","0.11721456685203492"
"KURAMOTO","undefined","undefined","undefined"
"SPIRAL","undefined","undefined","undefined"
"ECHO","undefined","undefined","undefined"
